src_ip,dst_ip,src_port,dst_port,seq,ack,window,flags,packet_size,ttl,label
1921680201,21773160140,33934,443,3202764542,2273837619,29579,24,1466,64,0
1921680201,21773160140,33934,443,3202765942,2273837619,29579,24,996,64,0
21773160140,1921680201,443,33934,2273837619,3202765942,489,16,66,118,0
21773160140,1921680201,443,33934,2273847493,3202766872,489,16,22466,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273869893,3202766872,489,16,7066,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273876893,3202766872,489,16,4266,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273881093,3202766872,489,16,4266,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273885293,3202766872,489,16,8466,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273893693,3202766872,489,16,4266,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273897893,3202766872,489,16,4266,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273902093,3202766872,489,24,1466,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273903493,3202766872,489,16,2866,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273906293,3202766872,489,16,2866,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273909093,3202766872,489,16,1466,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273910493,3202766872,489,24,5334,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273915761,3202766872,489,16,2866,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273918561,3202766872,489,16,2866,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273921361,3202766872,489,16,1466,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273922761,3202766872,489,16,7066,118,0
1921680201,21773160140,33934,443,3202766872,2273837619,29579,16,78,64,0
21773160140,1921680201,443,33934,2273929761,3202766872,489,16,1466,118,0
21773160140,1921680201,443,33934,2273980161,3202766872,489,16,5666,118,0
