src_ip,dst_ip,src_port,dst_port,packet_size,ttl,label
1921680201,21773160140,33934,443,94,64,0
1921680201,21773160140,33934,443,94,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,94,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,94,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,94,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,94,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,94,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,94,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,86,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,86,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,1466,118,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,66,64,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,4266,118,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,1264,118,0
1921680201,21773160140,33934,443,66,64,0
1921680201,21773160140,33934,443,1466,64,0
1921680201,21773160140,33934,443,1466,64,0
1921680201,21773160140,33934,443,996,64,0
21773160140,1921680201,443,33934,66,118,0
21773160140,1921680201,443,33934,1259,118,0
21773160140,1921680201,443,33934,350,118,0
21773160140,1921680201,443,33934,93,118,0
1921680201,21773160140,33934,443,66,64,0
1921680201,21773160140,33934,443,66,64,0
1921680201,21773160140,33934,443,66,64,0
19216803,22400251,60621,5353,84,1,1
19216803,22400251,41761,5353,84,1,1
1921680201,142250181238,34700,443,1027,64,0
1921680201,142250181238,34700,443,103,64,0
24798184206,1921680201,32299,53,60,64,1
1805211247,1921680201,5637,53,60,64,1
2026930206,1921680201,44496,53,60,64,1
929074215,1921680201,59759,53,60,64,1
2335868230,1921680201,12989,53,60,64,1
173206211124,1921680201,32300,53,60,64,1
25117716037,1921680201,44497,53,60,64,1
53626977,1921680201,63590,53,60,64,1
16820387197,1921680201,17519,53,60,64,1
4413216735,1921680201,23632,53,60,64,1
162087365,1921680201,32301,53,60,64,1
2551961285,1921680201,12990,53,60,64,1
972512110,1921680201,59760,53,60,64,1
12693147253,1921680201,44498,53,60,64,1
11614111250,1921680201,63591,53,60,64,1
14669160139,1921680201,22466,53,60,64,1
192191665,1921680201,12991,53,60,64,1
239229133109,1921680201,5640,53,60,64,1
302113827,1921680201,59761,53,60,64,1
930172233,1921680201,44499,53,60,64,1
461102067,1921680201,32303,53,60,64,1
1535120498,1921680201,63592,53,60,64,1
22221524295,1921680201,17521,53,60,64,1
9717785226,1921680201,52387,53,60,64,1
418255237,1921680201,22467,53,60,64,1
133208692,1921680201,59762,53,60,64,1
6220911386,1921680201,32304,53,60,64,1
18818419972,1921680201,44500,53,60,64,1
19413412755,1921680201,63593,53,60,64,1
6223718106,1921680201,52388,53,60,64,1
6530244239,1921680201,12993,53,60,64,1
1921983271,1921680201,22468,53,60,64,1
9314594232,1921680201,44501,53,60,64,1
1920185,1921680201,5643,53,60,64,1
161991747,1921680201,61726,53,60,64,1
16724123996,1921680201,52389,53,60,64,1
16752247204,1921680201,63594,53,60,64,1
12614186198,1921680201,12994,53,60,64,1
16321875136,1921680201,44502,53,60,64,1
15819949172,1921680201,23636,53,60,64,1
43774490,1921680201,59764,53,60,64,1
1455019153,1921680201,40877,53,60,64,1
20617423425,1921680201,32307,53,60,64,1
20621923236,1921680201,44503,53,60,64,1
9139130226,1921680201,17524,53,60,64,1
110231905,1921680201,22470,53,60,64,1
352554545,1921680201,23637,53,60,64,1
170229871,1921680201,40878,53,60,64,1
2043469175,1921680201,32308,53,60,64,1
21699776,1921680201,44504,53,60,64,1
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,4266,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2396,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,4266,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,8466,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,4266,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,4266,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,3330,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,4266,118,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,1466,118,0
21773160140,1921680201,443,33934,4266,118,0
21773160140,1921680201,443,33934,1466,118,0
21773160140,1921680201,443,33934,1466,118,0
22823923296,1921680201,24162,53,60,64,1
728010521,1921680201,62389,53,60,64,1
16411480239,1921680201,6304,53,60,64,1
550140108,1921680201,13546,53,60,64,1
861397340,1921680201,41505,53,60,64,1
1033519890,1921680201,60282,53,60,64,1
232249133244,1921680201,6305,53,60,64,1
30240124232,1921680201,24163,53,60,64,1
37197100234,1921680201,62390,53,60,64,1
22618311099,1921680201,52937,53,60,64,1
155142152228,1921680201,13547,53,60,64,1
21290131202,1921680201,32977,53,60,64,1
2154114798,1921680201,6306,53,60,64,1
471252773,1921680201,18049,53,60,64,1
345716071,1921680201,45129,53,60,64,1
26116136242,1921680201,24164,53,60,64,1
9617177178,1921680201,52938,53,60,64,1
585357100,1921680201,13548,53,60,64,1
1165120291,1921680201,64113,53,60,64,1
2123411559,1921680201,22986,53,60,64,1
113170177230,1921680201,62392,53,60,64,1
301197917,1921680201,18050,53,60,64,1
108195143142,1921680201,24165,53,60,64,1
685029231,1921680201,32979,53,60,64,1
20423113254,1921680201,6308,53,60,64,1
15427106157,1921680201,64114,53,60,64,1
24250227141,1921680201,62393,53,60,64,1
155071102,1921680201,41509,53,60,64,1
79793114,1921680201,32980,53,60,64,1
1148167221,1921680201,18051,53,60,64,1
255243105109,1921680201,52940,53,60,64,1
19718722854,1921680201,13550,53,60,64,1
19224336212,1921680201,64115,53,60,64,1
211995519,1921680201,62394,53,60,64,1
113566320,1921680201,60286,53,60,64,1
23021512815,1921680201,6310,53,60,64,1
24125151205,1921680201,18052,53,60,64,1
243101188163,1921680201,52941,53,60,64,1
1061821868,1921680201,13551,53,60,64,1
41209166117,1921680201,41511,53,60,64,1
185225250217,1921680201,64116,53,60,64,1
3980160250,1921680201,6311,53,60,64,1
220511181,1921680201,18053,53,60,64,1
23324162142,1921680201,52942,53,60,64,1
25514154135,1921680201,41512,53,60,64,1
1131567750,1921680201,32983,53,60,64,1
1071908134,1921680201,6312,53,60,64,1
24516821367,1921680201,64117,53,60,64,1
213179189189,1921680201,32984,53,60,64,1
18137137197,1921680201,52943,53,60,64,1
21773160140,1921680201,443,33934,5666,118,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,4266,118,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,4266,118,0
21773160140,1921680201,443,33934,4266,118,0
21773160140,1921680201,443,33934,1466,118,0
21773160140,1921680201,443,33934,7066,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,1466,118,0
21773160140,1921680201,443,33934,7066,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,4266,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,5666,118,0
1921680201,21773160140,33934,443,66,64,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,4266,118,0
21773160140,1921680201,443,33934,1466,118,0
21773160140,1921680201,443,33934,1466,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,5666,118,0
21773160140,1921680201,443,33934,2866,118,0
