src_ip,dst_ip,src_port,dst_port,seq,ack,window,flags,packet_size,ttl,label
1921680201,21773160140,33934,443,3202602752,2267149964,29482,16,66,64,0
1921680201,21773160140,33934,443,3202722112,2272389039,27922,16,66,64,0
1921680201,21773160140,33934,443,3202692272,2270798783,27852,16,66,64,0
1921680203,1921680201,50378,80,971171861,1340588105,512,2,60,64,1
1921680201,1921680219,80,8728,3854375348,1592706811,64240,18,58,64,0
1921680201,21773160140,33934,443,3202662432,2269482341,27992,16,94,64,0
1921680213,1921680201,19344,80,247341988,192633190,512,2,60,64,1
21773160140,1921680201,443,33934,2267336833,3202602752,489,16,26666,118,0
1921680201,21773160140,33934,443,3202729572,2272671818,28419,16,94,64,0
21773160140,1921680201,443,33934,2271605522,3202707192,489,16,2866,118,0
21773160140,1921680201,443,33934,2273528934,3202755682,489,16,2866,118,0
21773160140,1921680201,443,33934,2266894335,3202591562,489,16,1466,118,0
21773160140,1921680201,443,33934,2266040304,3202572912,489,16,4266,118,0
1921680201,21773160140,33934,443,3202684812,2270289026,29033,16,94,64,0
21773160140,1921680201,443,33934,2274709371,3202778062,489,24,4266,118,0
1921680201,1921680207,80,41036,3543132413,1049175659,64240,18,58,64,0
1921680203,1921680201,49173,80,1495106850,743927434,512,2,60,64,1
1921680201,21773160140,33934,443,3202692272,2270512637,29281,16,78,64,0
21773160140,1921680201,443,33934,2270417363,3202691342,489,16,66,118,0
1921680203,1921680201,50375,80,1796957736,1668140632,512,2,60,64,1
21773160140,1921680201,443,33934,2274098442,3202770602,489,16,4266,118,0
1921680201,1921680207,80,44259,791344284,1557428524,64240,18,58,64,0
1921680209,1921680201,1716,80,1297378832,1093669054,512,2,60,64,1
21773160140,1921680201,443,33934,2272635617,3202729572,489,16,1466,118,0
21773160140,1921680201,443,33934,2266278663,3202580372,489,16,5666,118,0
1921680201,1921680207,80,46111,2318981212,1179047299,64240,18,58,64,0
1921680201,21773160140,33934,443,3202778062,2274520371,28848,16,78,64,0
