src_ip,dst_ip,src_port,dst_port,packet_size,ttl,label
20313451204,1921680201,63541,53,60,64,1
21773160140,1921680201,443,33934,1466,118,0
21773160140,1921680201,443,33934,1466,118,0
22413322012,1921680201,7180,53,60,64,1
21773160140,1921680201,443,33934,1466,118,0
21773160140,1921680201,443,33934,1466,118,0
17420286157,1921680201,32848,53,60,64,1
21773160140,1921680201,443,33934,2866,118,0
18414661,1921680201,23550,53,60,64,1
205107188212,1921680201,61937,53,60,64,1
972218785,1921680201,18452,53,60,64,1
4223469154,1921680201,33049,53,60,64,1
26105235228,1921680201,63307,53,60,64,1
1921680201,21773160140,33934,443,94,64,0
21773160140,1921680201,443,33934,4266,118,0
5617524370,1921680201,32821,53,60,64,1
6319619931,1921680201,63389,53,60,64,1
21773160140,1921680201,443,33934,8466,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,5666,118,0
117124204200,1921680201,42486,53,60,64,1
16724103175,1921680201,13884,53,60,64,1
132132218168,1921680201,44988,53,60,64,1
2342079452,1921680201,22429,53,60,64,1
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,78,64,0
1484122197,1921680201,61820,53,60,64,1
21773160140,1921680201,443,33934,1466,118,0
4235122103,1921680201,62001,53,60,64,1
211371163,1921680201,24335,53,60,64,1
21773160140,1921680201,443,33934,1466,118,0
1382161405,1921680201,41553,53,60,64,1
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,7066,118,0
223246160206,1921680201,33183,53,60,64,1
1921680201,21773160140,33934,443,94,64,0
21773160140,1921680201,443,33934,1466,118,0
17117722119,1921680201,5959,53,60,64,1
250132150157,1921680201,63437,53,60,64,1
137220218209,1921680201,32065,53,60,64,1
1921680201,21773160140,33934,443,94,64,0
1921680167,22400251,5353,5353,115,255,1
16616712539,1921680201,17517,53,60,64,1
5884142244,1921680201,13993,53,60,64,1
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,8466,118,0
106235106186,1921680201,54419,53,60,64,1
21773160140,1921680201,443,33934,4266,118,0
1921680201,21773160140,33934,443,78,64,0
801429238,1921680201,7381,53,60,64,1
21773160140,1921680201,443,33934,996,118,0
22911125115,1921680201,33515,53,60,64,1
21773160140,1921680201,443,33934,4266,118,0
1921680201,21773160140,33934,443,78,64,0
822003991,1921680201,6875,53,60,64,1
20319995185,1921680201,61896,53,60,64,1
1921680201,21773160140,33934,443,94,64,0
1921680201,21773160140,33934,443,66,64,0
20212720179,1921680201,61875,53,60,64,1
21773160140,1921680201,443,33934,1466,118,0
81151241141,1921680201,23164,53,60,64,1
21773160140,1921680201,443,33934,2866,118,0
42209230150,1921680201,60718,53,60,64,1
21773160140,1921680201,443,33934,66,118,0
1571549681,1921680201,33381,53,60,64,1
3311120665,1921680201,53369,53,60,64,1
21773160140,1921680201,443,33934,4266,118,0
513911753,1921680201,12683,53,60,64,1
137188213187,1921680201,22885,53,60,64,1
17012211165,1921680201,23665,53,60,64,1
1921680201,21773160140,41101,443,1294,64,1
255158120202,1921680201,31909,53,60,64,1
13229228137,1921680201,32068,53,60,64,1
1311634956,1921680201,61933,53,60,64,1
21773160140,1921680201,443,33934,1466,118,0
327123139,1921680201,63287,53,60,64,1
101187160,1921680201,52781,53,60,64,1
38140140209,1921680201,61112,53,60,64,1
23517720310,1921680201,6518,53,60,64,1
14316218173,1921680201,24317,53,60,64,1
1921680201,21773160140,33934,443,66,64,0
1921680201,21773160140,33934,443,66,64,0
521275231,1921680201,23138,53,60,64,1
21773160140,1921680201,443,33934,1466,118,0
53231226198,1921680201,62945,53,60,64,1
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,94,64,0
1921680201,21773160140,33934,443,86,64,0
1921680201,21773160140,33934,443,94,64,0
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,66,64,0
21773160140,1921680201,443,33934,7066,118,0
21773160140,1921680201,443,33934,2866,118,0
1921680201,21773160140,33934,443,78,64,0
206129189202,1921680201,33347,53,60,64,1
41179184153,1921680201,64523,53,60,64,1
240182106146,1921680201,52482,53,60,64,1
1921680201,21773160140,33934,443,94,64,0
1921680201,21773160140,33934,443,78,64,0
1921680201,21773160140,33934,443,94,64,0
142250181238,1921680201,443,34700,66,56,0
21773160140,1921680201,443,33934,7066,118,0
21773160140,1921680201,443,33934,2866,118,0
211204145198,1921680201,60311,53,60,64,1
1921680201,21773160140,33934,443,94,64,0
20123524091,1921680201,54235,53,60,64,1
6758764,1921680201,44255,53,60,64,1
1921680201,21773160140,33934,443,1466,64,0
25513120710,1921680201,22296,53,60,64,1
12105188172,1921680201,40866,53,60,64,1
4099728,1921680201,33720,53,60,64,1
1921680201,21773160140,33934,443,66,64,0
93107755,1921680201,44505,53,60,64,1
10913198114,1921680201,61099,53,60,64,1
1921680201,21773160140,33934,443,78,64,0
1921680201,21773160140,33934,443,78,64,0
22325324253,1921680201,40514,53,60,64,1
1011017825,1921680201,52980,53,60,64,1
1921680201,21773160140,33934,443,66,64,0
2059170250,1921680201,62067,53,60,64,1
123236127,1921680201,24349,53,60,64,1
20437228141,1921680201,33714,53,60,64,1
1921680201,21773160140,33934,443,94,64,0
233111183110,1921680201,44291,53,60,64,1
21773160140,1921680201,443,33934,66,118,0
1921680201,21773160140,33934,443,94,64,0
1921680201,21773160140,33934,443,66,64,0
22911014556,1921680201,40636,53,60,64,1
178127205,1921680201,17797,53,60,64,1
93153572,1921680201,41373,53,60,64,1
475690176,1921680201,60327,53,60,64,1
1921680201,21773160140,33934,443,78,64,0
1921680201,21773160140,33934,443,1466,64,0
1921680201,21773160140,33934,443,94,64,0
1921680201,21773160140,33934,443,66,64,0
10249113210,1921680201,59610,53,60,64,1
73570105,1921680201,32074,53,60,64,1
21773160140,1921680201,443,33934,4266,118,0
21773160140,1921680201,443,33934,4266,118,0
21890164164,1921680201,17798,53,60,64,1
1921680201,21773160140,33934,443,1466,64,0
21773160140,1921680201,443,33934,1466,118,0
21773160140,1921680201,443,33934,4266,118,0
17124235160,1921680201,53655,53,60,64,1
1921680201,21773160140,33934,443,66,64,0
1722171814,1921680201,443,54516,105,119,0
124222166132,1921680201,24623,53,60,64,1
11557156,1921680201,7185,53,60,64,1
2026930206,1921680201,44496,53,60,64,1
21773160140,1921680201,443,33934,2866,118,0
21773160140,1921680201,443,33934,7066,118,0
16235225249,1921680201,34034,53,60,64,1
112109194157,1921680201,64649,53,60,64,1
1921680201,21773160140,33934,443,78,64,0
172720761,1921680201,23269,53,60,64,1
9514223476,1921680201,61338,53,60,64,1
1921680201,21773160140,46679,443,1294,64,1
142250181238,1921680201,443,34700,114,56,0
21773160140,1921680201,443,33934,5666,118,0
612185371,1921680201,23811,53,60,64,1
21773160140,1921680201,443,33934,1466,118,0
14121874196,1921680201,46139,53,60,64,1
1921680201,21773160140,33934,443,94,64,0
1921680201,21773160140,33934,443,66,64,0
14122510,1921680201,44965,53,60,64,1
1921680201,21773160140,33934,443,66,64,0
9141159,1921680201,64693,53,60,64,1
21773160140,1921680201,443,33934,4266,118,0
21773160140,1921680201,443,33934,1650,118,0
1921680201,21773160140,33934,443,94,64,0
1921680201,142250181238,34700,443,66,64,0
8113851,1921680201,33729,53,60,64,1
66921618,1921680201,22585,53,60,64,1
21773160140,1921680201,443,33934,1466,118,0
1921680201,21773160140,33934,443,94,64,0
117168205204,1921680201,61803,53,60,64,1
105231231,1921680201,64673,53,60,64,1
85154165247,1921680201,23555,53,60,64,1
275148211,1921680201,53266,53,60,64,1
1921680201,21773160140,33934,443,86,64,0
21773160140,1921680201,443,33934,2866,118,0
952495195,1921680201,23692,53,60,64,1
21773160140,1921680201,443,33934,4266,118,0
191139142229,1921680201,13132,53,60,64,1
1921680201,21773160140,33934,443,94,64,0
1921680201,21773160140,33934,443,78,64,0
21773160140,1921680201,443,33934,1466,118,0
